date,portfolio_value
2023-09-14 00:00:00+00:00,57804.270000000026
2023-09-15 00:00:00+00:00,57260.87000000003
2023-09-18 00:00:00+00:00,57606.67000000002
2023-09-19 00:00:00+00:00,57577.03000000003
2023-09-20 00:00:00+00:00,57675.830000000016
2023-09-21 00:00:00+00:00,56845.910000000025
2023-09-22 00:00:00+00:00,56924.950000000026
2023-09-25 00:00:00+00:00,56322.270000000026
2023-09-26 00:00:00+00:00,55887.55000000003
2023-09-27 00:00:00+00:00,55294.75000000003
2023-09-28 00:00:00+00:00,55146.55000000003
2023-09-29 00:00:00+00:00,55354.03000000003
2023-10-02 00:00:00+00:00,54800.75000000003
2023-10-03 00:00:00+00:00,54188.190000000024
2023-10-04 00:00:00+00:00,54296.87000000003
2023-10-05 00:00:00+00:00,51678.67000000002
2023-10-06 00:00:00+00:00,52429.55000000003
2023-10-09 00:00:00+00:00,52271.47000000003
2023-10-10 00:00:00+00:00,53387.910000000025
2023-10-11 00:00:00+00:00,52864.270000000026
2023-10-12 00:00:00+00:00,52231.950000000026
2023-10-13 00:00:00+00:00,52123.270000000026
2023-10-16 00:00:00+00:00,52785.230000000025
2023-10-17 00:00:00+00:00,53427.43000000002
2023-10-18 00:00:00+00:00,53387.910000000025
2023-10-19 00:00:00+00:00,53595.39000000003
2023-10-20 00:00:00+00:00,53852.270000000026
2023-10-23 00:00:00+00:00,53555.87000000003
2023-10-24 00:00:00+00:00,55008.230000000025
2023-10-25 00:00:00+00:00,55354.03000000003
2023-10-26 00:00:00+00:00,55324.39000000003
2023-10-27 00:00:00+00:00,54543.87000000003
2023-10-30 00:00:00+00:00,55393.55000000003
2023-10-31 00:00:00+00:00,55739.35000000003
2023-11-01 00:00:00+00:00,55768.99000000002
2023-11-02 00:00:00+00:00,56411.190000000024
2023-11-03 00:00:00+00:00,56114.79000000002
2023-11-06 00:00:00+00:00,56272.87000000003
2023-11-07 00:00:00+00:00,56490.230000000025
2023-11-08 00:00:00+00:00,56391.43000000002
2023-11-09 00:00:00+00:00,55986.35000000003
2023-11-10 00:00:00+00:00,55927.07000000002
2023-11-13 00:00:00+00:00,56253.11000000003
2023-11-14 00:00:00+00:00,56322.270000000026
2023-11-15 00:00:00+00:00,56470.47000000003
2023-11-16 00:00:00+00:00,56421.07000000002
2023-11-17 00:00:00+00:00,56500.11000000003
2023-11-20 00:00:00+00:00,56697.710000000036
2023-11-21 00:00:00+00:00,57250.99000000002
2023-11-22 00:00:00+00:00,57784.510000000024
2023-11-24 00:00:00+00:00,57804.270000000026
2023-11-27 00:00:00+00:00,57774.63000000003
2023-11-28 00:00:00+00:00,58001.87000000003
2023-11-29 00:00:00+00:00,57557.270000000026
2023-11-30 00:00:00+00:00,57695.590000000026
